condition,method,seed,feedback_seed,feedback_rank,epoch,n_train,input_noise,train_label_noise,test_acc
low_sample_noisy,dfa_random,2.0,1.0,0.0,14.0,4096.0,0.15,0.2,0.749755859375
low_sample_noisy,dfa_random,2.0,0.0,0.0,14.0,4096.0,0.15,0.2,0.739990234375
low_sample_noisy,dfa_random,3.0,0.0,0.0,14.0,4096.0,0.15,0.2,0.7275390625
nuisance_dominant,dfa_random,1.0,2.0,0.0,14.0,2048.0,0.05,0.0,0.767333984375
task_aligned,dfa_random,0.0,0.0,0.0,14.0,512.0,0.05,0.0,0.943359375
low_sample_noisy,dfa_random,1.0,1.0,0.0,14.0,4096.0,0.15,0.2,0.689208984375
low_sample_noisy,dfa_random,1.0,0.0,0.0,14.0,4096.0,0.15,0.2,0.6962890625
nuisance_dominant,dfa_random,2.0,2.0,0.0,14.0,1024.0,0.15,0.1,0.443603515625
nuisance_dominant,dfa_random,3.0,2.0,0.0,14.0,1024.0,0.15,0.1,0.500244140625
nuisance_dominant,dfa_random,3.0,1.0,0.0,14.0,1024.0,0.15,0.1,0.490966796875
low_sample_noisy,dfa_random,2.0,2.0,0.0,14.0,512.0,0.05,0.1,0.631103515625
task_aligned,dfa_random,1.0,0.0,0.0,14.0,1024.0,0.15,0.4,0.671630859375
nuisance_dominant,dfa_random,2.0,1.0,0.0,14.0,1024.0,0.15,0.1,0.4560546875
task_aligned,dfa_random,1.0,1.0,0.0,14.0,1024.0,0.15,0.4,0.6884765625
task_aligned,dfa_random,1.0,0.0,0.0,14.0,4096.0,0.05,0.4,0.83056640625
low_sample_noisy,dfa_random,2.0,1.0,0.0,14.0,512.0,0.05,0.1,0.587890625
low_sample_noisy,dfa_random,3.0,1.0,0.0,14.0,512.0,0.05,0.1,0.63330078125
low_sample_noisy,dfa_random,3.0,0.0,0.0,14.0,512.0,0.05,0.1,0.626708984375
task_aligned,dfa_random,0.0,2.0,0.0,14.0,4096.0,0.05,0.4,0.874755859375
low_sample_noisy,dfa_random,2.0,0.0,0.0,14.0,512.0,0.05,0.1,0.593017578125
nuisance_dominant,dfa_random,0.0,2.0,0.0,14.0,2048.0,0.15,0.0,0.7216796875
nuisance_dominant,dfa_random,0.0,1.0,0.0,14.0,2048.0,0.15,0.0,0.732177734375
nuisance_dominant,dfa_random,1.0,1.0,0.0,14.0,2048.0,0.15,0.0,0.6494140625
nuisance_dominant,dfa_random,1.0,0.0,0.0,14.0,2048.0,0.15,0.0,0.622314453125
