source_file,cell,condition,method,seed,feedback_seed,feedback_rank,damping,adaptive_lr,epoch,n_train,n_test,input_noise,train_label_noise,loss,train_eval_acc,test_acc,raw_param_cosine,method_param_cosine,method_hidden_projected_step,method_hidden_norm_ratio,factorization_log_corr_mean,factorization_rel_error_mean,gradsq_factor_log_corr_mean,adam_factor_log_corr_mean,adam_exact_log_corr_mean,adam_diagk_update_cosine_mean,adam_m_diagk_update_cosine_mean
results/infodfa_adam_diagk_approx_v1/shards/shard_11/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_sgd,3.0,0.0,0.0,,,100.0,4096.0,4096.0,0.05,0.0,0.0743714198470115,0.982421875,0.965576171875,0.4863064587116241,0.4863064587116241,1.661135465891263,1.0,0.6661274135112762,0.7146477699279785,0.4735260456800461,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_7/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_sgd,1.0,0.0,0.0,,,100.0,4096.0,4096.0,0.05,0.0,0.0043725650757551,1.0,0.96630859375,0.5001330971717834,0.5001330971717834,1.92950334446797,1.0,0.1509246729910955,0.700160026550293,0.0470848306957663,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_14/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_sgd,4.0,1.0,0.0,,,100.0,4096.0,4096.0,0.05,0.0,0.0132659021764993,0.998046875,0.969482421875,0.4029670357704162,0.4029670357704162,1.120807103119282,1.0,0.4448538869619369,0.836703360080719,0.2715728431940079,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_12/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_sgd,3.0,1.0,0.0,,,100.0,4096.0,4096.0,0.05,0.0,0.0078567769378423,0.998046875,0.96875,0.4190220534801483,0.4190220534801483,1.505029237417501,1.0,0.5278322845697403,0.7164641320705414,0.1974432542920112,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_6/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_sgd,0.0,1.0,0.0,,,100.0,4096.0,4096.0,0.05,0.0,0.0033564295154064,0.998046875,0.976318359375,0.4388893842697143,0.4388893842697143,1.3968153446556364,1.0,0.2069580864044837,0.7839548885822296,0.1163310371339321,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_9/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_sgd,2.0,0.0,0.0,,,100.0,4096.0,4096.0,0.05,0.0,0.0058801611885428,1.0,0.974365234375,0.4326874315738678,0.4326874315738678,1.5379987424067112,1.0,0.3885025382041931,0.7113016247749329,0.1206226013600826,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_8/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_sgd,1.0,1.0,0.0,,,100.0,4096.0,4096.0,0.05,0.0,0.0049064750783145,1.0,0.968017578125,0.4988010227680206,0.4988010227680206,1.66732078452335,1.0,0.1784837545637856,0.7068966925144196,0.0647015541788951,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_13/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_sgd,4.0,0.0,0.0,,,100.0,4096.0,4096.0,0.05,0.0,0.0333883240818977,0.990234375,0.971923828125,0.4494195282459259,0.4494195282459259,1.3382613803987915,1.0,0.5571946501731873,0.7782257199287415,0.3963555544614792,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_10/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_sgd,2.0,1.0,0.0,,,100.0,4096.0,4096.0,0.05,0.0,0.0216156002134084,0.994140625,0.97314453125,0.4119158089160919,0.4119158089160919,1.0980910836708235,1.0,0.5798129737377167,0.7700055539608002,0.3813814967870712,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_5/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_sgd,0.0,0.0,0.0,,,100.0,4096.0,4096.0,0.05,0.0,0.0083508929237723,0.998046875,0.975341796875,0.5190849304199219,0.5190849304199219,1.9990219271897776,1.0,0.4299414157867431,0.7229861915111542,0.1971050426363945,,,,
