phase,development,id,width,method,rho,seed,status,validation_accuracy,validation_loss,validation_logit_abs_max,validation_top_1pct_loss_fraction,update_seconds,test_accuracy,test_loss,test_logit_abs_max,test_top_1pct_loss_fraction,bn,feedback_scale,budget
stability,False,stability_bn0_fb1_dfa_s64001,1024,dfa,,64001,complete,0.205,3.480506734550343e+18,3.300082335992932e+19,0.10598367855837341,9.048472560709342,0.194,3.5230814796004393e+18,3.3402266050346615e+19,0.10425077141785571,False,1.0,
stability,False,stability_bn0_fb1_ndfa_s64001,1024,ndfa,,64001,complete,0.3705,1997692511792.128,50881579974656.0,0.12672237064178876,18.06071194028482,0.3732,2037266160477.5808,62874751860736.0,0.12282998847430851,False,1.0,
stability,False,stability_bn0_fb1_endfa_s64001,1024,endfa,,64001,complete,0.2605,4.154742171889356e+17,4.1237604162936504e+18,0.07681627931182405,18.084763621678576,0.2561,4.288579796703952e+17,4.402700743824376e+18,0.07519953837852127,False,1.0,
stability,False,stability_bn0_fb1_kndfa_s64001,1024,kndfa,,64001,complete,0.353,21034825099091.97,406456511758336.0,0.11621856603848112,21.797230786876753,0.3475,21011910005476.56,454412908625920.0,0.11910943277879553,False,1.0,
stability,False,stability_bn0_fb1_dfa_s64002,1024,dfa,,64002,complete,0.302,2072075892795900.0,1.6899637600321536e+16,0.07075746783619151,9.069623574614525,0.2909,2161372195828059.2,2.029008048881664e+16,0.0706154310087083,False,1.0,
stability,False,stability_bn0_fb1_ndfa_s64002,1024,ndfa,,64002,complete,0.379,3439434010597.376,76145659740160.0,0.17687097742369465,18.02837077761069,0.3827,3841691460140.4673,104555501060096.0,0.18135491175416882,False,1.0,
stability,False,stability_bn0_fb1_endfa_s64002,1024,endfa,,64002,complete,0.283,2.5896516758819728e+17,1.845272569184256e+18,0.062372643860207716,18.127923937747255,0.276,2.597045202365096e+17,1.7516535521256407e+18,0.06227207829526105,False,1.0,
stability,False,stability_bn0_fb1_kndfa_s64002,1024,kndfa,,64002,complete,0.404,26840305494573.055,453975090397184.0,0.10256352944736186,21.7903168220073,0.3998,28138286237601.793,429709062045696.0,0.09873095887884878,False,1.0,
stability,False,stability_bn0_fb1_dfa_s64003,1024,dfa,,64003,complete,0.2635,1776811489336991.8,2.475680352698368e+16,0.1014371778909124,9.141690600430593,0.2624,1801208525985933.0,2.5339336383791104e+16,0.1076173142648387,False,1.0,
stability,False,stability_bn0_fb1_ndfa_s64003,1024,ndfa,,64003,complete,0.4475,2708543280868.096,107202736029696.0,0.2177635192946728,18.05539473867975,0.4403,2988642639175.629,119836399108096.0,0.20931715063377074,False,1.0,
stability,False,stability_bn0_fb1_endfa_s64003,1024,endfa,,64003,complete,0.3085,1.8499078729548957e+17,1.6728159570739855e+18,0.07380990369384495,18.149910874431953,0.3054,1.8622603883385456e+17,1.5639203254590505e+18,0.07176254189120729,False,1.0,
stability,False,stability_bn0_fb1_kndfa_s64003,1024,kndfa,,64003,complete,0.382,14930417558581.248,205233066082304.0,0.0872154156959276,21.779509824467823,0.3849,15486625042306.252,224666249592832.0,0.07781288951520793,False,1.0,
stability,False,stability_bn0_fb1_dfa_s64004,1024,dfa,,64004,complete,0.2365,5.7109493914426936e+16,7.059559404231721e+17,0.10870701530142493,9.110484201461077,0.2387,5.728089024248907e+16,7.757553437360783e+17,0.10753443447727282,False,1.0,
stability,False,stability_bn0_fb1_ndfa_s64004,1024,ndfa,,64004,complete,0.409,9988889653233.664,211547892744192.0,0.13708823355877825,18.0533044047188,0.4046,10570825211304.447,278240933445632.0,0.14935213383373874,False,1.0,
stability,False,stability_bn0_fb1_endfa_s64004,1024,endfa,,64004,complete,0.315,1.171785512933665e+17,1.9500679845002609e+18,0.08779860621634526,18.124095261096954,0.3097,1.1275896092328072e+17,1.6409162385341809e+18,0.09021472237890485,False,1.0,
stability,False,stability_bn0_fb1_kndfa_s64004,1024,kndfa,,64004,complete,0.3605,16467606775685.12,232609489616896.0,0.06576906979314852,21.79715167824179,0.3792,16491652593636.146,285345312669696.0,0.06974376759846046,False,1.0,
stability,False,stability_bn1_fb0.1_dfa_s64000,1024,dfa,,64000,complete,0.5135,1.3378690820615229,12.381455421447754,0.039948787425332415,11.027318907668814,0.5101,1.37274130389341,13.061827659606934,0.045059200101942955,True,0.1,
stability,False,stability_bn1_fb0.1_ndfa_s64000,1024,ndfa,,64000,complete,0.5705,1.212349976426304,13.402655601501465,0.046356721699617194,20.892770698992535,0.557,1.255956895474452,15.237068176269531,0.05110611695963572,True,0.1,
