condition,input_noise,n_train,train_label_noise,nuisance_energy_ratio,gain
mixed_context,0.05,1024.0,0.1,15.359999999999998,22.67252604166667
mixed_context,0.05,1024.0,0.2,15.359999999999998,22.57486979166667
mixed_context,0.05,1024.0,0.4,15.359999999999998,17.519531249999996
mixed_context,0.05,2048.0,0.0,15.359999999999998,31.606445312499996
mixed_context,0.05,2048.0,0.1,15.359999999999998,27.781575520833336
mixed_context,0.05,2048.0,0.2,15.359999999999998,24.46940104166667
mixed_context,0.05,2048.0,0.4,15.359999999999998,21.4501953125
mixed_context,0.05,4096.0,0.0,15.359999999999998,14.697265625
mixed_context,0.05,4096.0,0.1,15.359999999999998,22.145182291666664
mixed_context,0.05,4096.0,0.2,15.359999999999998,31.404622395833336
mixed_context,0.05,4096.0,0.4,15.359999999999998,26.334635416666675
mixed_context,0.15,512.0,0.0,15.359999999999998,22.06217447916667
mixed_context,0.15,512.0,0.1,15.359999999999998,19.16341145833334
mixed_context,0.15,512.0,0.2,15.359999999999998,17.75227864583333
mixed_context,0.15,512.0,0.4,15.359999999999998,13.400065104166666
mixed_context,0.15,1024.0,0.0,15.359999999999998,22.18587239583334
mixed_context,0.15,1024.0,0.1,15.359999999999998,21.40950520833333
mixed_context,0.15,1024.0,0.2,15.359999999999998,20.836588541666668
mixed_context,0.15,1024.0,0.4,15.359999999999998,16.57877604166666
mixed_context,0.15,2048.0,0.0,15.359999999999998,27.945963541666668
mixed_context,0.15,2048.0,0.1,15.359999999999998,24.746093749999996
mixed_context,0.15,2048.0,0.2,15.359999999999998,23.758138020833343
mixed_context,0.15,2048.0,0.4,15.359999999999998,19.01204427083334
mixed_context,0.15,4096.0,0.0,15.359999999999998,11.616210937500004
mixed_context,0.15,4096.0,0.1,15.359999999999998,23.183593749999996
mixed_context,0.15,4096.0,0.2,15.359999999999998,27.356770833333332
mixed_context,0.15,4096.0,0.4,15.359999999999998,22.30305989583333
nuisance_dominant,0.05,512.0,0.0,118.5185185185185,31.9091796875
nuisance_dominant,0.05,512.0,0.1,118.5185185185185,25.327148437500007
nuisance_dominant,0.05,512.0,0.2,118.5185185185185,20.428059895833336
nuisance_dominant,0.05,512.0,0.4,118.5185185185185,11.57877604166667
